epsilon,f_C,f_E
2.3448275862068964,923.0,2.0
2.9310344827586206,923.0,2.0
3.5172413793103443,909.0,3.0
4.1034482758620685,909.0,3.0
4.689655172413793,909.0,3.0
5.275862068965517,909.0,3.0
5.862068965517241,909.0,3.0
6.448275862068965,906.0,6.0
7.034482758620689,903.0,7.0
7.620689655172413,903.0,7.0
8.206896551724137,902.0,8.0
8.793103448275861,902.0,8.0
9.379310344827585,902.0,8.0
9.96551724137931,902.0,8.0
10.551724137931034,901.0,10.0
11.137931034482758,901.0,10.0
11.724137931034482,901.0,10.0
12.310344827586206,899.0,12.0
12.89655172413793,899.0,12.0
13.482758620689655,899.0,12.0
14.068965517241377,895.0,14.0
14.655172413793101,895.0,14.0
15.241379310344826,895.0,14.0
15.82758620689655,895.0,14.0
16.413793103448274,895.0,14.0
17.0,888.0,17.0
